modelname,stage,brick_remain,catch_count,state,run_sec
KNN_RE_k=5_rmse=17.12,5,0,20,FINISH,22.57
KNN_RE_k=5_rmse=17.12,5,0,23,FINISH,23.53
KNN_RE_k=5_rmse=17.12,5,1,31,FAIL,32.44
KNN_RE_k=5_rmse=17.12,5,0,20,FINISH,22.57
KNN_RE_k=5_rmse=17.12,5,7,26,FAIL,30.73
KNN_RE_k=5_rmse=17.12,5,0,23,FINISH,23.53
KNN_RE_k=5_rmse=17.12,5,0,27,FINISH,26.8
KNN_RE_k=5_rmse=17.12,5,7,29,FAIL,36.71
KNN_RE_k=5_rmse=17.12,5,2,25,FAIL,30.19
KNN_RE_k=5_rmse=17.12,5,0,18,FINISH,18.77
KNN_RE_k=5_rmse=17.12,5,0,23,FINISH,23.53
KNN_RE_k=5_rmse=17.12,5,3,34,FAIL,39.25
KNN_RE_k=5_rmse=17.12,5,0,25,FINISH,25.58
KNN_RE_k=5_rmse=17.12,5,0,25,FINISH,26.53
KNN_RE_k=5_rmse=17.12,5,0,26,FINISH,28
KNN_RE_k=5_rmse=17.12,5,4,28,FAIL,31.77
KNN_RE_k=5_rmse=17.12,5,3,27,FAIL,30.59
KNN_RE_k=5_rmse=17.12,5,0,23,FINISH,23.79
KNN_RE_k=5_rmse=17.12,5,0,26,FINISH,28
KNN_RE_k=5_rmse=17.12,5,0,26,FINISH,28
KNN_RE_k=5_rmse=17.12,5,0,21,FINISH,24.2
KNN_RE_k=5_rmse=17.12,5,0,25,FINISH,25.55
KNN_RE_k=5_rmse=17.12,5,2,30,FAIL,30.85
KNN_RE_k=5_rmse=17.12,5,2,30,FAIL,30.85
KNN_RE_k=5_rmse=17.12,5,0,27,FINISH,26.8
KNN_RE_k=5_rmse=17.12,5,7,27,FAIL,30.63
DCT_RE_depth=10_rmse=17.79,5,0,26,FINISH,28
DCT_RE_depth=10_rmse=17.79,1,3,1,FAIL,1.89
DCT_RE_depth=10_rmse=17.79,2,2,6,FAIL,7.09
DCT_RE_depth=10_rmse=17.79,2,11,0,FAIL,1
DCT_RE_depth=10_rmse=17.79,2,5,2,FAIL,2.15
DCT_RE_depth=10_rmse=17.79,2,14,1,FAIL,1.57
DCT_RE_depth=10_rmse=17.79,2,8,2,FAIL,2.17
DCT_RE_depth=10_rmse=17.79,2,11,1,FAIL,2.12
DCT_RE_depth=10_rmse=17.79,2,5,3,FAIL,2.77
DCT_RE_depth=10_rmse=17.79,2,3,7,FAIL,5.75
DCT_RE_depth=10_rmse=17.79,2,14,2,FAIL,1.58
DCT_RE_depth=10_rmse=17.79,2,13,4,FAIL,2.56
DCT_RE_depth=10_rmse=17.79,2,12,2,FAIL,2.33
DCT_RE_depth=10_rmse=17.79,2,15,2,FAIL,0.66
DCT_RE_depth=10_rmse=17.79,2,7,1,FAIL,2.1
DCT_RE_depth=10_rmse=17.79,2,15,1,FAIL,0.65
DCT_RE_depth=10_rmse=17.79,2,5,3,FAIL,2.77
DCT_RE_depth=10_rmse=17.79,2,5,5,FAIL,4.21
DCT_RE_depth=10_rmse=17.79,2,4,5,FAIL,4.07
DCT_RE_depth=10_rmse=17.79,2,5,3,FAIL,3.7
DCT_RE_depth=10_rmse=17.79,2,3,6,FAIL,6.93
DCT_RE_depth=10_rmse=17.79,2,3,3,FAIL,4.27
DCT_RE_depth=10_rmse=17.79,2,3,1,FAIL,1.88
DCT_RE_depth=10_rmse=17.79,2,11,0,FAIL,1.01
DCT_RE_depth=10_rmse=17.79,2,14,2,FAIL,1.58
DCT_RE_depth=10_rmse=17.79,2,1,26,FAIL,30.63
DCT_RE_depth=10_rmse=17.79,2,0,7,FINISH,7.6
DCT_RE_depth=10_rmse=17.79,2,1,26,FAIL,30.67
DCT_RE_depth=10_rmse=17.79,2,0,8,FINISH,9.22
DCT_RE_depth=10_rmse=17.79,2,11,0,FAIL,1
DCT_RE_depth=10_rmse=17.79,2,8,2,FAIL,2.17
DCT_RE_depth=10_rmse=17.79,3,0,13,FINISH,13.55
DCT_RE_depth=10_rmse=17.79,3,19,5,FAIL,4.41
DCT_RE_depth=10_rmse=17.79,3,25,1,FAIL,1.58
DCT_RE_depth=10_rmse=17.79,3,1,15,FAIL,14.95
DCT_RE_depth=10_rmse=17.79,3,25,0,FAIL,0.92
DCT_RE_depth=10_rmse=17.79,3,26,1,FAIL,0.66
DCT_RE_depth=10_rmse=17.79,3,10,11,FAIL,9.64
DCT_RE_depth=10_rmse=17.79,3,25,0,FAIL,0.92
DCT_RE_depth=10_rmse=17.79,3,7,14,FAIL,12.76
DCT_RE_depth=10_rmse=17.79,3,2,15,FAIL,15.19
DCT_RE_depth=10_rmse=17.79,3,20,4,FAIL,4.14
DCT_RE_depth=10_rmse=17.79,3,2,15,FAIL,15.19
DCT_RE_depth=10_rmse=17.79,4,22,5,FAIL,4.41
DCT_RE_depth=10_rmse=17.79,3,1,16,FAIL,16.11
DCT_RE_depth=10_rmse=17.79,4,25,4,FAIL,3.51
DCT_RE_depth=10_rmse=17.79,3,23,3,FAIL,2.41
DCT_RE_depth=10_rmse=17.79,3,4,13,FAIL,13.61
DCT_RE_depth=10_rmse=17.79,4,0,18,FINISH,19.64
DCT_RE_depth=10_rmse=17.79,3,24,0,FAIL,1
DCT_RE_depth=10_rmse=17.79,4,26,5,FAIL,4.22
DCT_RE_depth=10_rmse=17.79,4,28,0,FAIL,1.03
DCT_RE_depth=10_rmse=17.79,5,1,31,FAIL,32.63
DCT_RE_depth=10_rmse=17.79,3,9,12,FAIL,11.79
DCT_RE_depth=10_rmse=17.79,5,41,1,FAIL,1.61
DCT_RE_depth=10_rmse=17.79,5,41,1,FAIL,1.58
DCT_RE_depth=10_rmse=17.79,4,14,9,FAIL,9.37
DCT_RE_depth=10_rmse=17.79,4,27,0,FAIL,1.03
DCT_RE_depth=10_rmse=17.79,5,34,1,FAIL,1.36
DCT_RE_depth=10_rmse=17.79,3,3,11,FAIL,10.06
DCT_RE_depth=10_rmse=17.79,5,41,1,FAIL,0.47
DCT_RE_depth=10_rmse=17.79,3,26,0,FAIL,0.46
DCT_RE_depth=10_rmse=17.79,4,24,6,FAIL,5.19
DCT_RE_depth=10_rmse=17.79,5,41,1,FAIL,1.57
DCT_RE_depth=10_rmse=17.79,3,7,3,FAIL,4.18
DCT_RE_depth=10_rmse=17.79,4,24,3,FAIL,2.73
DCT_RE_depth=10_rmse=17.79,5,4,18,FAIL,17.87
DCT_RE_depth=10_rmse=17.79,4,4,16,FAIL,15.29
DCT_RE_depth=10_rmse=17.79,5,36,0,FAIL,1.64
DCT_RE_depth=10_rmse=17.79,4,25,4,FAIL,3.51
DCT_RE_depth=10_rmse=17.79,4,24,3,FAIL,2.73
DCT_RE_depth=10_rmse=17.79,3,6,27,FAIL,30.45
DCT_RE_depth=10_rmse=17.79,5,16,9,FAIL,9.65
DCT_RE_depth=10_rmse=17.79,5,0,23,FINISH,22.4
DCT_RE_depth=10_rmse=17.79,3,0,11,FINISH,11.55
DCT_RE_depth=10_rmse=17.79,3,16,1,FAIL,1.42
DCT_RE_depth=10_rmse=17.79,4,18,11,FAIL,8.81
DCT_RE_depth=10_rmse=17.79,4,27,2,FAIL,2.33
DCT_RE_depth=10_rmse=17.79,5,40,2,FAIL,2.2
DCT_RE_depth=10_rmse=17.79,5,41,0,FAIL,0.92
DCT_RE_depth=10_rmse=17.79,4,26,3,FAIL,3.45
DCT_RE_depth=10_rmse=17.79,3,9,12,FAIL,11.79
DCT_RE_depth=10_rmse=17.79,4,22,4,FAIL,4.79
DCT_RE_depth=10_rmse=17.79,3,7,3,FAIL,4.18
DCT_RE_depth=10_rmse=17.79,4,26,2,FAIL,2.16
DCT_RE_depth=10_rmse=17.79,3,25,1,FAIL,1.58
DCT_RE_depth=10_rmse=17.79,5,2,20,FAIL,20.74
DCT_RE_depth=10_rmse=17.79,5,41,1,FAIL,1.61
DCT_RE_depth=10_rmse=17.79,3,9,12,FAIL,11.79
DCT_RE_depth=10_rmse=17.79,4,9,16,FAIL,14.02
DCT_RE_depth=10_rmse=17.79,5,38,4,FAIL,3.96
DCT_RE_depth=10_rmse=17.79,3,23,5,FAIL,3.13
DCT_RE_depth=10_rmse=17.79,4,29,4,FAIL,2.56
DCT_RE_depth=10_rmse=17.79,5,41,0,FAIL,0.92
DCT_RE_depth=10_rmse=17.79,5,40,0,FAIL,1
DCT_RE_depth=10_rmse=17.79,5,29,4,FAIL,4.18
DCT_RE_depth=10_rmse=17.79,3,1,16,FAIL,16.11
DCT_RE_depth=10_rmse=17.79,4,0,18,FINISH,19.64
DCT_RE_depth=10_rmse=17.79,3,7,3,FAIL,4.18
DCT_RE_depth=10_rmse=17.79,5,25,10,FAIL,8.65
DCT_RE_depth=10_rmse=17.79,4,28,0,FAIL,1.26
DCT_RE_depth=10_rmse=17.79,5,36,0,FAIL,1.64
DCT_RE_depth=10_rmse=17.79,4,20,5,FAIL,4.07
DCT_RE_depth=10_rmse=17.79,5,17,11,FAIL,9.86
DCT_RE_depth=10_rmse=17.79,4,18,11,FAIL,8.81
DCT_RE_depth=10_rmse=17.79,4,20,5,FAIL,4.07
DCT_RE_depth=10_rmse=17.79,4,29,0,FAIL,1.3
